question,answer
Who was said to have conquered more nations with his tongue than Pyrrhus with his sword,Cineas*
Whose rousing speech led the Senate to refuse the peace terms offered by Cineas,Appius Claudius Caecus*
"Who reported to Pyrrhus that the Roman senate was an ""assembly of kings""",Cineas*
Where did Pyrrhus take his army from 278 to 275 BC,Sicily
What city requested Pyrrhus come to fight for them in 278 BC,Syracuse
What empire did Pyrrhus fight against in Sicily from 278 to 275 BC,Carthage
At what battle of 275 BC did Pyrrhus meet the Romans,Maleventum
What became the new name of Maleventum after Pyrrhus was driven off there,Beneventum
What Roman general won the battle of Beneventum,Curius Dentatus*
What did the Romans use in response to Pyrrhus' elephants,fiery spears*
How did Pyrrhus of Epirus ultimately die,woman dropped pot on his head
Where did Pyrrhus of Epirus die,"Argos (in Greece, 272 BC)"
What is the modern name of Ariminum,Rimini
What is the modern name of Brundisium,Brindisi
Whose Italian campaign was a failure though he never lost a land battle,Pyrrhus
In what year did Tarentum finally surrender after the Pyrrhic War,272 BC
"What power controlled all of peninsular Italy by 264 BC, setting the stage for war with Carthage",Rome
